,Prevalence,FailureToTreat,UnnecessaryUse,Total,UnnecessaryUsePercentage,FailureToTreatPercentage,Sample
10344,0.648,20007,0,123718,0.0,0.16171454436702823,21
10345,0.65,20007,0,123718,0.0,0.16171454436702823,21
10346,0.652,20007,0,123718,0.0,0.16171454436702823,21
10347,0.654,20007,0,123718,0.0,0.16171454436702823,21
10348,0.656,20007,0,123718,0.0,0.16171454436702823,21
10349,0.658,20007,0,123718,0.0,0.16171454436702823,21
10350,0.66,20007,0,123718,0.0,0.16171454436702823,21
10351,0.662,20007,0,123718,0.0,0.16171454436702823,21
10352,0.664,20007,0,123718,0.0,0.16171454436702823,21
10353,0.666,20007,0,123718,0.0,0.16171454436702823,21
10354,0.668,20007,0,123718,0.0,0.16171454436702823,21
10355,0.67,20007,0,123718,0.0,0.16171454436702823,21
10356,0.672,20007,0,123718,0.0,0.16171454436702823,21
10357,0.674,20007,0,123718,0.0,0.16171454436702823,21
10358,0.676,20007,0,123718,0.0,0.16171454436702823,21
10359,0.678,20007,0,123718,0.0,0.16171454436702823,21
10360,0.68,20007,0,123718,0.0,0.16171454436702823,21
10361,0.682,20007,0,123718,0.0,0.16171454436702823,21
10362,0.684,20007,0,123718,0.0,0.16171454436702823,21
10363,0.686,20007,0,123718,0.0,0.16171454436702823,21
10364,0.6880000000000001,20007,0,123718,0.0,0.16171454436702823,21
10365,0.6900000000000001,20007,0,123718,0.0,0.16171454436702823,21
10366,0.6920000000000001,20007,0,123718,0.0,0.16171454436702823,21
10367,0.6940000000000001,20007,0,123718,0.0,0.16171454436702823,21
10368,0.6960000000000001,20007,0,123718,0.0,0.16171454436702823,21
10369,0.6980000000000001,20007,0,123718,0.0,0.16171454436702823,21
10370,0.7000000000000001,20007,0,123718,0.0,0.16171454436702823,21
10371,0.7020000000000001,20007,0,123718,0.0,0.16171454436702823,21
10372,0.704,20007,0,123718,0.0,0.16171454436702823,21
10373,0.706,20007,0,123718,0.0,0.16171454436702823,21
10374,0.708,20007,0,123718,0.0,0.16171454436702823,21
10375,0.71,20007,0,123718,0.0,0.16171454436702823,21
10376,0.712,20007,0,123718,0.0,0.16171454436702823,21
10377,0.714,20007,0,123718,0.0,0.16171454436702823,21
10378,0.716,20007,0,123718,0.0,0.16171454436702823,21
10379,0.718,20007,0,123718,0.0,0.16171454436702823,21
10380,0.72,20007,0,123718,0.0,0.16171454436702823,21
10381,0.722,20007,0,123718,0.0,0.16171454436702823,21
10382,0.724,20007,0,123718,0.0,0.16171454436702823,21
10383,0.726,20007,0,123718,0.0,0.16171454436702823,21
10384,0.728,20007,0,123718,0.0,0.16171454436702823,21
10385,0.73,20007,0,123718,0.0,0.16171454436702823,21
